,Code,PT,DOMES,Description,Lat,Lon,Height
1577,NCLI,A,77000P985,LILLINGTON 2004,35 25 12.5,281 11 19.6,24.3
1578,NCAL,A,77000P955,ALBEMARLE,35 20 17.3,279 47 11.4,111.3
1579,SYDN,A,50124M003,National Measurement I,-33 46 51.1,151 09 01.3,85.6
1580,BCOV,A,40145M001,"Beaver Cove, BC Canada",50 32 39.4,233 09 26.4,37.4
1581,KELS,A,49662M001,Kelso,46 07 05.4,237 06 14.1,-15.9
1582,PIN1,B,40407M003,PIN1,33 36 43.7,243 32 30.6,1256.1
1583,CAT1,A,40488M001,CAT1,33 26 44.7,241 31 01.1,3.9
1584,TXSM,A,77001P786,San Marcos,29 52 40.5,262 05 50.3,157.4
1585,TXTA,A,77001P793,TAYLOR,30 33 51.2,262 33 17.8,147.8
1586,CMP9,A,49905M003,CMP9,34 21 11.4,241 35 18.8,1138
1587,VALY,A,77001P814,MASSIE,37 22 32.0,280 52 24.3,253.8
1588,PTSG,A,49769M001,Point St. George,41 46 57.8,235 44 41.2,-10.2
1589,ZAB1,A,49696S001,Albuquerque WAAS 1,35 10 24.8,253 25 57.5,1619.7
1590,GUS1,A,49802S001,Gustavus 1,58 25 02.9,224 18 09.5,19.8
1591,HOPB,A,49425M001,Hopland - BARD Station,38 59 42.6,236 55 30.9,353.3
1592,GUST,A,49632S001,Gustavus,41 27 45.9,279 17 01.7,282
1593,TXBS,A,77001P674,BASTROP,30 06 46.2,262 42 33.7,140.1
1594,NCCO,A,49564S001,CONCORD,35 22 35.2,279 26 08.8,153
1595,SOLA,A,20101M001,"SOLAR VILLAGE, SAUDI A",24 54 38.4,46 24 02.0,760
1596,MBAR,A,33901M001,"Mbarara, Uganda",-0 36 05.2,30 44 16.3,1337.6
1597,TWHL,A,49635S001,TWHL_PNGA_WA2001,47 00 57.2,237 04 37.6,107.3
1598,NCCA,A,77000P962,CARTHAGE,35 20 30.0,280 36 54.8,148.2
1599,WEL2,A,50208S003,New Zealand NGA colloc,-41 16 21.5,174 46 43.3,46.8
1600,P584,A,77001P392,POTREROCRKCS2004,33 53 33.3,243 02 54.0,738.7
1601,ABQ2,A,40429S003,Albuquerque USCG2,34 57 25.6,253 30 19.8,1720.5
1602,P034,A,77001P226,SANDIA_ASLNM2004,34 56 44.2,253 32 26.6,1810.9
1603,KOK2,A,49896S002,Kokole Point 2,21 59 01.5,200 14 30.2,23.6
1604,TXBU,A,77001P676,Burnet,30 45 01.6,261 48 56.2,438
1605,DGAR,A,30802M001,"Diego Garcia Island, U",-7 16 10.8,72 22 12.8,-64.9
1606,KOKB,A,40424M004,"Kokee Park, Waimea,, U",22 07 34.5,200 20 06.2,1167.4
1607,HAG2,A,49798S002,Hagerstown 2,39 33 12.5,282 17 09.2,121.1
1608,COSA,A,49675S001,Scottsdale,33 34 07.3,248 07 04.2,391.3
1609,P036,A,77001P228,ANGELFIRE_NM2004,36 25 12.9,254 42 22.8,2529.9
1610,P037,A,77001P229,FREEMONTAPCO2004,38 25 18.3,254 53 43.1,1616.9
1611,SUTH,A,30314M002,"Sutherland, South Afri",-32 22 48.7,20 48 37.6,1799.8
1612,MRRN,A,49495M001,Merriman,42 54 15.4,258 18 12.8,971.7
1613,FDTC,A,49604S001,Florence Darlington Te,34 14 42.8,280 11 13.5,15.1
1614,AZSC,A,77000P176,CNTR FOR ARTS,33 29 30.4,248 04 38.5,361.2
1615,P482,A,77001P365,LAKHENSHAWCS2004,33 14 24.6,243 19 42.9,878.7
1616,GRTN,A,49599S001,Georgetown,38 51 34.3,276 07 15.2,252
1617,TXES,A,49512M001,ELLIS,32 22 10.9,263 08 14.0,163.7
1618,TUVA,A,51101M001,TUVALU CGPS,-8 31 31.0,179 11 47.6,38.4
1619,P122,A,77401P280,CNRSPRNGS_UT2004,41 38 07.3,247 40 05.0,1293.2
1620,LDBT,A,49568S001,Ledbetter,30 05 22.1,263 13 16.2,97.7
1621,IDTD,A,49794S001,Idaho DOT,43 39 10.5,243 42 59.7,788.6
1622,BIS1,A,49834S001,Biorka Island 1,56 51 16.1,224 27 38.5,66.6
1623,LEV1,A,49796S001,Level Island 1,56 27 56.4,226 54 25.9,25.2
1624,DRV1,A,49486M001,Driver 1,36 57 31.1,283 26 36.0,-22.9
1625,BAY1,A,49804S001,Cold Bay 1,55 11 24.9,197 17 34.2,50.5
1626,BIGR,A,77000P192,BIG RAPIDS,43 40 44.9,274 30 44.1,284.5
1627,BRCH,A,77000P206,TAYMOUTH,43 15 02.8,276 07 57.8,160
1628,CHSN,A,77000P252,CHESANING,43 11 23.5,275 52 37.9,165.1
1629,P121,A,77401P279,HNSVALLY_UT2004,41 48 12.1,247 18 06.1,1452.4
1630,WYLC,A,77001P898,LARAMIE COUNTY,41 06 16.3,255 13 28.6,1823.9
1631,PRRY,A,49586S001,Perry,30 04 40.1,276 25 31.3,-14.4
1632,NCBU,A,77000P960,BURLINGTON,36 05 29.6,280 33 47.8,172
1633,CLGO,A,49935M001,"College Geo Obs, Alask",64 52 25.5,212 08 22.2,196.1
1634,P526,A,77001P375,RamageRnchCS2004,35 38 09.5,239 07 48.9,416.9
1635,P576,A,77001P390,GallegosRnCS2004,35 40 10.7,239 01 47.9,324.4
1636,LNC1,A,49531S001,Lincoln 1,38 50 47.4,238 38 59.1,5.9
1637,LNC2,A,49531S002,Lincoln 2,38 50 47.4,238 38 58.0,5.9
1638,TRO1,A,10302M006,"Tromsoe, Norway",69 39 45.7,18 56 22.7,138.1
1639,ARP2,A,77000P140,Aransas Pass 2,27 50 18.1,262 56 26.7,-16.6
1640,GWEN,A,49888S001,Appleton 1,45 46 57.4,238 40 20.7,732.3
1641,GWN2,A,77000P396,Appleton 2,45 46 57.4,238 40 21.8,733
1642,SC00,A,49634S001,SC00_PNGA_WA2000,46 57 03.3,239 16 31.4,1178.4
1643,USN3,A,40451S007,"Washington, U.S.A.",38 55 14.0,282 56 01.4,57.4
1644,NMRO,A,77001P076,ROSWELL,33 23 41.8,255 24 39.2,1094.7
1645,TXDR,A,77001P699,DEL RIO,29 21 51.8,259 06 01.7,280.1
1646,EPRT,A,49928S001,"Eastport, USA",44 54 31.3,293 00 28.3,30.4
1647,COVG,A,77000P280,COVINGTON,30 28 33.2,269 54 16.0,-5.9
1648,CCJM,A,21732S003,"Ogasawara, Japan",27 05 44.0,142 11 04.4,208.8
1649,QIKI,A,40166M001,Qikiqtarjuaq (Baffin I,67 33 33.6,295 57 58.7,13.3
1650,NRC1,A,40114M001,"OTTAWA, CANADA",45 27 14.9,284 22 34.2,82.5
1651,ELIZ,A,40144M001,"Eliza Dome, BC Canada",49 52 22.9,232 52 38.4,164.7
1652,CMP9,A,49905M003,CMP9,34 21 11.4,241 35 18.8,1138
1653,IDPO,A,77000P465,POCATELLO,42 51 56.0,247 34 05.6,1379.4
1654,DET1,A,49854S001,Detroit 1,42 17 50.4,276 54 16.9,145
1655,ANG1,A,49569S001,Angleton 1,29 18 05.3,264 30 53.7,-9.5
1656,SRP1,A,49693S001,Salt River Project,33 27 02.2,247 46 19.9,297.1
1657,HOUM,A,77000P417,HOUMA,29 35 32.1,269 16 34.9,-12.7
1658,ZAN1,A,49520S001,ANCHORAGE WAAS 1,61 13 45.1,210 13 11.1,80.2
1659,NJTR,A,77001P070,TRENTON,40 15 27.4,285 12 11.9,40
1660,NYNP,A,49506S001,SUNY-NEW PALTZ,41 44 32.8,285 55 04.0,81.3
1661,MARS,A,10073M008,Marseille,43 16 43.5,5 21 13.6,61.8
1662,P483,A,77001P366,JULIANBIN_CS2004,33 03 32.9,243 25 50.4,1375.6
1663,AST1,A,77000P149,AUSTIN 1,39 23 24.9,242 41 29.8,1760
1664,AST2,A,77000P150,AUSTIN 2,39 23 25.5,242 41 29.0,1760.2
1665,GVLT,A,49797S001,Greenville Technical C,34 49 46.9,277 37 44.6,248.9
1666,COYQ,A,41715S001,"Coyhaique, Chile",-45 30 51.6,288 06 28.5,476.2
1667,P478,A,77001P363,ValleyCntrCS2004,33 14 08.5,242 55 42.2,371.6
1668,P066,A,77001P250,JacumbaAp_CS2004,32 36 59.4,243 49 48.7,822.9
1669,WARN,A,14277M002,Warnemuende,54 10 11.2,12 06 05.1,50.7
1670,KJUN,A,49680S001,KJUN,30 13 16.9,267 57 17.5,-7
1671,P480,A,77001P364,Vallecito_CS2004,32 58 33.5,243 39 05.2,436
1672,P036,A,77001P228,ANGELFIRE_NM2004,36 25 12.9,254 42 22.8,2529.9
1673,NCAS,A,13227M001,ASHEBORO,35 37 49.4,280 14 06.3,209.7
1674,SASS,A,14281M001,Sassnitz,54 30 48.9,13 38 35.8,68.2
1675,NPLD,A,13234M003,"Teddington, England",51 25 15.5,359 39 37.3,72.6
1676,LMNO,A,49420M001,Lamont,36 41 07.6,262 31 09.3,279.7
1677,GUS1,A,49802S001,Gustavus 1,58 25 02.9,224 18 09.5,19.8
1678,SHRV,A,77001P575,SHREVEPORT,32 25 39.6,266 17 43.3,36.7
1679,GVLT,A,49797S001,Greenville Technical C,34 49 46.9,277 37 44.6,248.9
1680,P562,A,77001P384,SOLEDADMTNCS2004,34 58 55.6,241 48 40.5,1241.1
1681,P057,A,77001P247,HILL72____UT2004,41 45 23.6,247 22 36.6,1382.2
1682,CARM,A,13206S001,CARIBOU,46 52 06.3,291 59 10.7,174.2
1683,PUB1,A,49630S001,PUEBLO 1,38 17 12.6,255 39 16.1,1414.2
1684,PUB2,A,49630S002,PUEBLO 2,38 17 13.4,255 39 16.2,1414.3
1685,CDB7,A,49804S003,COLD BAY WAAS 7,55 12 01.2,197 16 53.4,53.2
1686,LNC1,A,49531S001,Lincoln 1,38 50 47.4,238 38 59.1,5.9
1687,MYT2,A,49646S002,MYTON 2,40 06 09.5,249 57 05.3,1610.5
1688,P576,A,77001P390,GallegosRnCS2004,35 40 10.7,239 01 47.9,324.4
1689,NISU,A,49507M001,NISU antenna at NIST,39 59 43.5,254 44 15.8,1653.8
1690,AZU1,A,49911M001,"Azusa, Calif USA",34 07 33.6,242 06 12.6,144.7
1691,NPLD,A,13234M003,"Teddington, England",51 25 15.5,359 39 37.3,72.6
1692,NCMA,A,77000P987,MARSHALL,35 48 47.3,277 18 37.3,559.3
1693,NCPO,A,77000P996,POLKTON,34 59 33.1,279 49 22.1,83.6
1694,NCSH,A,77001P004,SHELBY,35 16 53.6,278 30 31.8,263.1
1695,PIN1,B,40407M003,PIN1,33 36 43.7,243 32 30.6,1256.2
1696,WLSN,A,40400M101,"Mt. Wilson Obs., CA",34 13 34.0,241 56 38.7,1705.2
1697,P041,A,77001P233,MARSHALL FIELD,39 56 58.1,254 48 20.6,1728.8
1698,P020,A,77001P215,DRYLNDRSH_WA2004,47 00 07.9,241 26 03.2,480.1
1699,MANA,A,41201S001,"Managua, Nicaragua",12 08 56.1,273 45 03.6,71.1
1700,P432,A,77001P351,PACKWOODF_WA2004,46 37 22.2,238 19 00.3,318.9
1701,AZGB,A,49541S001,GILA COUNTY,33 23 43.2,249 13 42.7,1097.8
1702,P420,A,77001P349,FANTASYFD_WA2004,46 35 18.9,237 08 01.2,74.1
1703,P261,A,77001P297,HunterHillCN2004,38 09 10.6,237 46 56.8,118.2
1704,P474,A,77001P361,FALLBROOK_CS2004,33 21 18.6,242 45 04.7,182.9
1705,ZWEN,A,12330M001,Zwenigorod,55 41 57.4,36 45 31.0,205
1706,CORV,A,49659M001,CORV_PNGA_OR1996,44 35 07.9,236 41 43.4,105.6
1707,P105,A,77401P263,DeltaMuni_UT2004,39 23 15.1,247 29 45.2,1431.5
1708,CHIL,A,40484M001,CHIL,34 20 00.3,241 58 26.3,1567.5
1709,CIT1,A,40400S201,CIT1,34 08 12.1,241 52 21.7,215.3
1710,TORP,A,49912M001,Torrance Ariport,33 47 52.0,241 40 09.8,-5.2
1711,CRFP,A,40481M001,"Yucaipa, CA",34 02 20.5,242 54 01.1,688.8
1712,AOA1,A,40483S001,For tests purposes,34 09 26.7,241 10 10.8,246.5
1713,LBCH,A,40482M001,"Long Beach, CA",33 47 15.9,241 47 47.9,-27.6
1714,DHLG,A,49904M001,Durmid Hill,33 23 23.3,244 12 43.0,-83.1
1715,MONP,A,40497M004,"Laguna Mountains, USA",32 53 30.9,243 34 39.5,1842.6
1716,TSEA,A,49448S001,The Surveyors Exchange,61 11 14.3,210 06 18.0,43
1717,MIA4,A,49914M002,MIAMI 4,25 43 58.0,279 50 22.1,-17.4
1718,TEHN,A,20404M002,"TEHRAN, IRAN",35 41 50.2,51 20 02.7,1194.6
1719,VILL,A,13406M001,"Villafranca, Spain",40 26 36.9,356 02 52.8,647.3
1720,KING,A,49539S001,Kingman,35 11 50.4,245 57 30.6,1129.4
1721,P584,A,77001P392,POTREROCRKCS2004,33 53 33.3,243 02 54.0,738.7
1722,THU3,A,43001M002,"Thule Airbase, Greenla",76 32 13.3,291 10 29.8,36.1
1723,MNLS,A,77000P791,LESUEUR,44 26 28.1,266 05 35.3,239
1724,P539,A,77001P378,VogelRanchCS2004,35 42 09.6,239 49 04.6,601.1
1725,IDTD,A,49794S001,Idaho DOT,43 39 10.5,243 42 59.7,788.6
1726,SC04,A,77001P548,"Chemainus, BC Canada",48 55 23.3,236 17 45.1,14.9
1727,P304,A,77001P315,MENDOTA___CN2004,36 44 20.4,239 38 36.2,17.2
1728,P271,A,77001P301,Woodland1_ca2004,38 39 26.4,238 17 07.6,-18.2
1729,P295,A,77001P311,ChimneyRR_CS2004,35 41 49.4,239 09 27.4,583.5
1730,OKCB,A,49587S001,Okeechobee,27 15 57.7,279 08 40.8,-15.3
1731,HOFN,A,10204M002,"Hoefn, Iceland",64 16 02.2,344 48 07.4,82.8
1732,FREO,A,49644S001,Freeport,40 12 05.9,278 44 31.7,273.5
1733,CRBT,A,49626M001,CRBT_SCGN_CN2001,35 47 29.8,239 14 57.2,205.4
1734,P532,A,77001P376,WicksRanchCS2004,35 38 01.7,239 43 58.7,533.2
1735,IDNP,A,77000P464,GRANGEVILLE APT,45 56 22.9,243 52 43.4,996.6
1736,KOUC,A,92727S001,"Koumac, New Caledonia",-20 33 31.2,164 17 14.4,84.1
1737,CCCC,A,49755M001,CCCC_SCGN_CS2000,35 33 55.1,242 19 43.7,814
1738,MANZ,A,40513S001,Manzanillo Tide Gauge,19 03 49.9,255 42 06.6,-14.1
1739,NCG1,A,49438M001,GREENSBORO 1,36 04 03.6,280 15 18.1,215.6
1740,NCG2,A,77000P973,GREENSBORO 2,36 04 02.7,280 15 18.0,215.6
1741,AB07,A,40423M002,SandPoint_AK2004,55 20 57.3,199 31 23.6,89.6
1742,GRAS,A,10002M006,"Caussols, France",43 45 17.0,6 55 14.0,1319.3
1743,WHN2,A,49695S001,Whitney 2,42 44 22.1,256 40 17.1,1053.3
1744,FERN,A,49718S001,Ferno Mesa,35 20 30.7,247 32 42.9,1767.9
1745,COSA,A,49675S001,Scottsdale,33 34 07.3,248 07 04.2,391.3
1746,BURN,A,49658M001,"Burns Junction, Oregon",42 46 46.2,242 09 23.2,1180.9
1747,ANP2,A,49908S102,Annapolis 2,39 00 37.8,283 23 27.2,21.4
1748,STL4,A,77001P594,St Louis 4,38 36 40.7,270 14 27.9,167.5
1749,FST1,A,77000P349,Flagstaff 1,35 13 18.3,248 10 57.3,2136.2
1750,FST2,A,77000P350,Flagstaff 2,35 13 17.5,248 10 57.1,2135.8
1751,ORS1,A,77001P199,Seneca 1,44 09 51.2,240 56 28.4,1437.6
1752,CHI3,A,49803S003,Cape Hinchinbrook 3,60 14 15.0,213 21 12.3,94.6
1753,LOU1,A,77000P593,Louisville 1,38 00 37.0,274 42 04.2,190.8
1754,HBCH,A,49550S001,Harbor Beach,43 50 46.5,277 21 24.9,145.6
1755,ZMP1,A,77001P924,MINNEAPOLIS WAAS 1,44 38 14.8,266 50 52.4,262.2
1756,P042,A,77001P234,Wheatland_WY2004,42 03 05.4,255 05 21.8,1422.4
1757,P472,A,77001P359,CampElliotCS2004,32 53 21.1,242 53 43.0,137.9
1758,P040,A,77001P232,LamarArpt_CO2004,38 04 17.3,257 18 46.8,1102.7
1759,SDSF,A,49576M001,EROS DATA CENTER,43 44 01.7,263 22 41.4,459.7
1760,ZWE2,A,12330M003,Zwenigorod,55 41 57.4,36 45 30.2,208.2
1761,FST1,A,77000P349,Flagstaff 1,35 13 18.3,248 10 57.3,2136.2
1762,JTNT,A,49881S001,Jayton,33 01 01.9,259 01 22.2,684.5
1763,TSWY,A,77001P658,TSWY_EBRY_WY2001,43 40 26.7,249 24 09.0,2190.7
1764,KST1,A,77000P549,TOPEKA 1,39 02 40.5,263 57 39.1,303
1765,WASR,A,49775S001,Raleigh,35 33 34.8,282 56 28.4,-26.7
1766,HRAO,A,30302M004,"Krugersdorp, South Afr",-25 53 24.3,27 41 13.1,1414.2
1767,P044,A,77001P236,AkronArpt_CO2004,40 10 18.4,256 46 39.0,1411
1768,YBHB,A,77001P902,"Yreka, CA -- Yreka Blu",41 43 53.9,237 17 21.3,1065.7
1769,IDSS,A,77000P467,MONSANTO-SODA SPR,42 41 10.5,248 24 58.0,1817.3
1770,AZBK,A,77000P159,MCDOT BUCKEYE,33 22 10.3,247 22 47.5,242.8
1771,VTUV,A,77001P842,UVM COLLIDGE,44 28 09.2,286 48 07.6,111.3
1772,MTMS,A,77000P945,MONTANA STATE UNIVERSI,48 32 27.4,250 18 48.0,773.4
1773,OKAO,A,77001P179,ANADARKO,35 04 35.0,261 45 14.7,339.3
1774,OKAR,A,77001P180,ARDMORE,34 10 06.4,262 49 50.7,235.8
1775,OKHV,A,77001P185,HEAVENER,34 54 47.4,265 22 54.8,145.3
1776,ADRI,A,49637S001,Adrian,41 55 08.3,275 58 32.5,206
1777,AVCA,A,49558S001,Avoca,43 03 39.2,277 18 44.1,200.5
1778,BRIG,A,49613S001,Brighton,42 31 12.3,276 14 36.0,261.3
1779,CASS,A,49557S001,Cass City,43 36 07.0,276 50 19.8,196.8
1780,CLRE,A,49556S001,Saint Clair,42 43 25.9,277 24 15.4,154.4
1781,FRTG,A,49555S001,Fort Gratiot,43 02 15.2,277 30 42.6,156.5
1782,GRAR,A,49615S001,Grand Rapids,42 59 19.6,274 19 32.3,155.9
1783,HRUF,A,49560S001,HENRY RUFF,42 17 05.3,276 39 34.6,163.7
1784,LANS,A,49552S001,Lansing,42 40 25.9,275 20 12.0,241.1
1785,METR,A,49617S001,Auburn Hills,42 41 05.1,276 45 26.0,260.5
1786,MIO1,A,49559S001,Mio,44 39 05.2,275 51 59.4,278.5
1787,MPLE,A,49639S001,Mt. Pleasant,43 36 54.2,275 14 17.7,200.6
1788,NOR1,A,49618S001,Cadillac,44 15 20.9,274 33 46.2,364.1
1789,NOR2,A,49619S001,Gaylord,44 59 21.3,275 18 59.8,360.4
1790,NOR3,A,49620S001,Alpena,45 04 06.9,276 25 52.8,174.5
1791,OKEE,A,49553S001,Smiths Creek,42 54 49.9,277 24 18.4,159.7
1792,SIBY,A,49554S001,SIBY,42 10 12.5,276 45 31.2,152.5
1793,SOWR,A,49621S001,Kalamazoo,42 13 33.1,274 27 59.1,231.4
1794,SUP1,A,49622S001,L'Anse,46 44 55.4,271 33 28.0,203
1795,SUP2,A,49623S001,Escanaba,45 44 58.1,272 55 35.3,153.8
1796,SUP3,A,49629S001,Newberry,46 18 09.5,274 29 13.9,221.7
1797,MLO1,A,77000P758,Mauna Loa Observatory,19 32 09.3,204 25 25.6,3429.5
1798,ESCU,A,40168M001,Escuminac,47 04 24.2,295 12 04.6,-16
1799,JOZE,A,12204M001,"Jozefoslaw, Poland",52 05 50.1,21 01 53.5,141.4
1800,MDO1,A,40442M012,"Fort Davis, USA",30 40 49.8,255 59 06.0,2004.5
1801,DET1,A,49854S001,Detroit 1,42 17 50.4,276 54 16.9,145
1802,TXWF,A,49574S001,WICHITA FALLS RRP2,33 51 14.1,261 29 40.0,280.2
1803,TXEL,A,49748S004,El Paso RRP2,31 41 29.4,253 43 42.3,1122
1804,TXOD,A,49572S001,Odessa RRP2,31 52 26.1,257 41 05.4,859.8
1805,P470,A,77001P358,BaldyMesa_CS2004,34 27 44.6,242 36 21.9,991.4
1806,SCOR,A,43006M002,Scoresbysund/Ittoqqoor,70 29 07.2,338 02 58.7,128.5
1807,OHMH,A,77001P164,MARBLEHEAD,41 32 37.2,277 16 06.7,142.9
1808,MIMQ,A,77000P724,MARQUETTE,46 32 43.9,272 37 16.6,155.1
1809,DAKA,A,34106M001,DAKA 34106M001,14 41 04.3,342 32 05.6,46.2
1810,MTFV,A,77000P942,FLATHEAD VALLEY MONUME,48 13 38.9,245 40 23.3,905.2
1811,ANKR,A,20805M002,"Ankara, Turkey",39 53 14.5,32 45 30.4,976
1812,TIDB,A,50103M108,"Tidbinbilla, Australia",-35 23 57.1,148 58 47.9,665.3
1813,OKTU,A,77001P191,Tulsa,36 12 38.1,264 08 44.1,168.1
1814,PICL,A,40155M001,PICL CACS-ACP,51 28 47.3,269 50 16.8,315.1
1815,COVX,A,49676S001,Chesapeake Light Ocean,36 54 16.6,284 17 14.2,-1.1
1816,TXAM,A,49570S001,Amarillo RRP2,35 09 12.8,258 07 17.5,1098.1
1817,TXLU,A,49573S001,Lubbock RRP2,33 32 07.5,258 09 25.7,956
1818,OKGM,A,77001P184,GUYMON,36 40 28.5,258 31 14.3,930
1819,MSKY,A,77000P926,MUSKEGON,43 14 15.1,273 56 43.4,174.9
1820,WARR,A,77001P845,WARREN,42 32 02.4,276 58 46.6,157.2
1821,WRUN,A,77001P879,WILLOW RUN,42 14 05.1,276 27 29.9,186.6
1822,P473,A,77001P360,Jamacha_LFCS2004,32 44 01.5,243 03 01.7,188.6
1823,FAIR,A,40408M001,"Fairbanks, USA",64 58 40.7,212 30 02.7,319
1824,HOB2,A,50116M004,"Hobart, Australia",-42 48 16.9,147 26 19.4,41.1
1825,MAC1,A,50135M001,"MacQuarie Island, Sub-",-54 29 58.3,158 56 08.9,-6.9
1826,WEL1,A,50208S003,New Zealand NGA colloc,-41 16 21.5,174 46 43.3,46.8
1827,WGTN,A,50208M003,Wellington Airport,-41 19 24.4,174 48 21.2,26
1828,WGTT,A,50208S004,Te Papa (National Muse,-41 17 25.5,174 46 53.7,43
1829,WUHN,A,21602M001,"Wuhan City, P.R. China",30 31 53.9,114 21 26.1,25.9
1830,OSN1,A,23904S001,"Osan, South Korea",37 04 39.2,127 01 26.5,48.8
1831,PIMO,A,22003M001,"Quezon City, Philippin",14 38 08.5,121 04 39.8,95.5
1832,OKPR,A,77001P188,PERRY,36 16 34.4,262 40 41.9,325.2
1833,OKBF,A,77001P181,BUFFALO,36 49 40.9,260 21 31.1,538.8
1834,IRKM,A,12313M001,irkm 12313M001,52 13 08.4,104 18 58.4,502.3
1835,HYDE,A,22307M001,Hyderabad (located in,17 25 02.1,78 33 03.1,441.7
1836,COCO,A,50127M001,Cocos (Keeling) Island,-12 11 18.0,96 50 02.2,-35.3
1837,AB37,A,77000P022,Paxson2___AK2004,62 58 02.3,214 32 53.2,1136.7
1838,P026,A,77001P218,HATCHARPT_NM2004,32 39 32.2,252 48 18.4,1236.9
1839,HTV2,A,77000P421,Hartsville 2,36 21 27.3,273 54 36.8,167.4
1840,SVTL,A,12350M001,Svetloe,60 31 58.3,29 46 51.1,76.7
1841,KUNM,A,21609M001,"Kunming, China",25 01 46.3,102 47 49.9,1986.2
1842,CARH,A,40464M006,CARR HILL SITE 2,35 53 18.1,239 34 09.0,480.3
1843,P067,A,77001P251,CleggRanchCS2004,35 33 06.3,238 59 49.3,107
1844,VAN2,A,77001P815,Vandenberg AFB 2,34 49 35.2,239 26 12.1,99.4
1845,MEM2,A,49867S002,Memphis 2,35 27 56.5,269 47 38.2,46.6
1846,DGAR,A,30802M001,"Diego Garcia Island, U",-7 16 10.8,72 22 12.8,-64.9
1847,HRN2,A,49616S002,Hawk Run 2,40 52 40.2,281 49 07.4,588
1848,JAB1,A,50136M001,"Jabiru, Australia",-12 39 31.8,132 53 38.0,82.1
1849,OKAL,A,77001P178,ALTUS,34 37 56.1,260 40 14.3,400.5
1850,OKDN,A,77001P183,DUNCAN,34 28 45.5,262 02 00.4,314.3
1851,DLND,A,77000P304,DELAND,29 03 22.9,278 44 12.5,-1.3
1852,LEES,A,77000P584,LEESBURG,28 49 34.4,278 11 34.0,-2.6
1853,P086,A,77001P253,Kennecott1UT2005,40 38 55.6,247 43 04.5,1341.5
1854,P589,A,77001P394,BlackMtQryCS2005,34 37 14.4,242 53 23.3,1148
1855,OUS2,A,50212M002,"Dunedin, New Zealand",-45 52 10.1,170 30 39.3,26.1
1856,MTEI,A,77000P941,ENGINC,45 44 47.0,251 23 59.2,970.2
1857,PBCH,A,77001P467,WEST PALM,26 50 46.6,279 46 50.6,-16.9
1858,TXCH,A,77001P687,CHILDRESS,34 27 34.5,259 43 18.1,564
1859,NOVJ,A,12367M001,"NOVOSIBIRSK, RUSSIA",55 01 47.7,82 54 32.8,125.9
1860,KST2,A,77000P550,TOPEKA 2,39 02 39.6,263 57 39.1,302.8
1861,TXHU,A,49577S001,Houston RRP2,29 46 45.9,264 34 01.2,11.9
1862,CAGS,A,40147M001,Gatineau,45 35 06.0,284 11 33.6,235
1863,TWHL,A,49635S001,TWHL_PNGA_WA2001,47 00 57.2,237 04 37.6,107.3
1864,TXBW,A,77001P678,BROWNWOOD,31 44 15.4,261 01 59.3,389.3
1865,TXVA,A,77001P800,VICTORIA,28 50 05.7,263 05 25.4,9.8
1866,P486,A,77001P367,BorregoAirCS2004,33 15 36.6,243 40 39.7,126.3
1867,P600,A,77001P399,Pushwalla_CS2005,33 51 57.0,243 47 17.2,792.1
1868,BAN2,A,22306M003,"Bangalore, India",13 02 03.5,77 30 41.8,831.9
1869,PETP,A,12355M002,Petropavlovsk-Kamchatk,53 04 00.2,158 36 25.4,210.3
1870,TXAR,A,49571S001,Arlington RRP2,32 45 32.5,262 56 22.9,142.8
1871,CHUR,A,40128M002,"CHURCHILL, CANADA",58 45 32.6,265 54 40.5,-19.3
1872,OKMA,A,77001P186,McAlester,34 55 40.8,264 15 45.9,200.8
1873,ORS2,A,77001P200,Seneca 2,44 09 50.8,240 56 29.5,1438.5
1874,TXPR,A,49648S002,Pharr RRP2,26 12 30.5,261 48 38.6,15.2
1875,TXBM,A,49580S001,Beaumont RRP2,30 09 42.1,265 49 13.0,-11.9
1876,PLO2,A,77001P476,Point Loma 2,32 39 56.2,242 45 24.5,-22.6
1877,WARN,A,14277M002,Warnemuende,54 10 11.2,12 06 05.1,50.7
1878,TXLR,A,49645S002,Laredo RRP2,27 30 49.9,260 33 07.4,113.6
1879,TALL,A,77001P608,TALLULAH,32 24 01.2,268 49 01.1,6.1
1880,CORD,A,41511M001,"CORDOBA, ARGENTINA",-31 31 42.3,295 31 47.8,746.8
1881,P039,A,77001P231,ClaytonArp_NM2005,36 26 53.2,256 50 45.7,1493.6
1882,CASA,A,40437M002,CASA,37 38 40.6,241 06 12.0,2390.5
1883,P035,A,77001P227,VaughnPtrl_NM2005,34 36 05.0,254 48 59.0,1780.4
1884,P105,A,77401P263,DeltaMuni_UT2004,39 23 15.1,247 29 45.2,1431.5
1885,ELEN,A,40902S001,Santa Elena,16 54 57.8,270 07 56.5,118.1
1886,GAAT,A,77000P356,ATHENS,33 57 08.8,276 40 29.0,221.6
1887,GACL,A,77000P365,CARROLLTON,33 37 57.7,274 50 39.3,323.2
1888,GACO,A,77000P366,COVINGTON,33 36 23.6,276 07 09.1,195.2
1889,GAGR,A,77000P371,GRIFFIN,33 13 40.0,275 43 19.4,264.1
1890,GALV,A,77000P373,LAWRENCEVILLE,33 58 40.4,276 01 11.2,302.6
1891,GAMC,A,77000P374,MACON,32 42 06.5,276 21 05.0,91.4
