,Code,PT,DOMES,Description,Lat,Lon,Height
71,HBRK,A,77000P406,Hillsboro,38 18 16.7,262 42 23.3,412.6
72,HKLO,A,49877S001,Haskell,35 40 57.9,264 08 11.8,191.1
73,LMNO,A,49420M001,Lamont,36 41 07.6,262 31 09.3,279.7
74,TMGO,A,49433M001,Table Mountain Gravity,40 07 51.3,254 46 02.2,1673
75,WSMN,A,49884S001,White Sands,32 24 25.6,253 39 00.6,1204.1
76,CMP9,A,49905M003,CMP9,34 21 11.4,241 35 18.8,1138
77,OAT2,A,40478S101,"Santa Susana Mts., CA",34 19 47.6,241 23 55.0,1112.6
78,PLTC,A,40496M003,Platteville,40 10 53.7,255 16 26.6,1502.8
79,GAIT,A,49468M001,Gaithersburg,39 08 02.3,282 46 44.4,107.6
80,UCLU,A,40140M001,Ucluelet,48 55 32.2,234 27 30.0,10.1
81,BOR1,A,12205M002,"Borowiec, Poland",52 16 37.0,17 04 24.4,124.4
82,MAW1,A,66004M001,"Mawson, Antarctica",-67 36 17.1,62 52 14.5,59.1
83,SYOG,A,66006S002,"East Ongle Island, Ant",-69 00 25.0,39 35 01.4,50
84,CICE,A,40508M001,"Cicese-Ensenada, Mexic",31 52 16.5,243 19 57.4,87.6
85,BRAN,A,40400M301,BRAN,34 11 05.6,241 43 22.6,246.1
86,LEEP,A,49902M001,"Hollywood, CA",34 08 04.5,241 40 41.6,485
87,STJO,A,40101M001,"ST. JOHN'S, CANADA",47 35 42.8,307 19 20.0,152.8
88,GUAM,A,50501M002,"Dededo, Guam",13 35 21.5,144 52 06.0,201.9
89,KERG,A,91201M002,"Port aux Francais, Ker",-49 21 05.2,70 15 19.8,73
90,TABL,A,49901M001,"Wrightwood, CA",34 22 54.6,242 19 18.1,2228
91,WTZR,A,14201M010,"Bad Koetzting, Germany",49 08 39.1,12 52 44.0,666
92,TRAK,A,40480M001,Bommer Canyon,33 37 04.5,242 11 47.6,115.5
93,PBL1,A,49891S001,Point Blunt 1,37 51 10.9,237 34 51.7,-8.1
94,SAG1,A,49475M001,Saginaw 1,43 37 43.1,276 09 44.0,149.2
95,MIL1,A,49862S001,Milwaukee 1,43 00 09.1,272 06 41.5,147.3
96,RPT1,A,49889S001,Robinson Point 1,47 23 15.0,237 37 30.8,-9.9
97,WHD1,A,49892S001,Whidbey Island 1,48 18 45.7,237 18 13.8,13.8
98,CHB1,A,49856S001,Cheboygan 1,45 39 12.5,275 32 03.6,145.1
99,WHP1,A,49860S001,Whitefish Point 1,46 46 16.6,275 02 31.0,150.6
100,ARP3,A,49878S003,Aransas Pass 3,27 50 18.0,262 56 27.7,-16.6
101,ENG1,A,49866S001,English Turn 1,29 52 44.2,270 03 29.7,-18.6
102,GAL1,A,49872S001,Galveston 1,29 19 47.5,265 15 47.4,-17.6
103,VIC1,A,49869S001,Vicksburg 1,32 19 53.1,269 04 48.7,9.6
104,CHA1,A,49851S001,Charleston 1,32 45 27.2,280 09 25.6,-29.1
105,CHL1,A,49845S001,Cape Henlopen 1,38 46 36.4,284 54 44.3,-13.6
106,CHR1,A,49847S001,Cape Henry 1,36 55 37.4,283 59 37.0,-26.8
107,SHK1,A,49473M001,Sandy Hook 1,40 28 17.3,285 59 18.2,-24.6
108,OHIG,A,66008M001,"O'Higgins, Antarctic P",-63 19 14.6,302 05 58.7,30.7
109,BRU1,A,49840S001,Brunswick 1,43 53 23.3,290 03 12.3,1.9
110,CHT1,A,49841S001,Chatham 1,41 40 16.3,290 02 59.8,-10.6
111,JPLM,A,40400M007,"Pasadena, USA",34 12 17.3,241 49 36.3,424
112,HERS,A,13212M007,"Hailsham, England",50 52 02.3,0 20 10.5,76.5
113,MADR,A,13407S012,"ROBLEDO, SPAIN",40 25 44.9,355 45 01.2,829.3
114,VNDP,A,40420M007,Vandenberg Air Force B,34 33 22.7,239 23 00.7,-11.5
115,COCO,A,50127M001,Cocos (Keeling) Island,-12 11 18.0,96 50 02.2,-35.3
116,SOL1,A,49907S001,"Solomons Island, MD US",38 19 07.9,283 32 45.9,-19.1
117,AML5,A,77000P123,Amarillo,35 09 12.8,258 07 17.5,1098.1
118,AUS5,A,49579S002,Austin RRP,30 18 42.1,262 14 37.2,192.6
119,BEA5,A,49580M001,Beaumont RRP,30 09 42.1,265 49 13.0,-11.9
120,KOKB,A,40424M004,"Kokee Park, Waimea,, U",22 07 34.5,200 20 06.2,1167.4
121,GOPE,A,11502M002,"Ondrejov, Czech Republ",49 54 49.3,14 47 08.2,592.6
122,LUBB,A,77000P635,Lubbock RRP,33 32 07.5,258 09 25.7,956
123,PRCO,A,49422M001,Purcell,34 58 47.5,262 28 50.6,305.1
124,ANTO,A,49581S002,San Antonio RRP,29 29 28.3,261 25 24.0,263.8
125,ARL5,A,77000P135,Arlington RRP,32 45 32.5,262 56 22.9,142.8
126,CORC,A,49578S002,Corpus Christi RRP,27 44 26.8,262 33 29.9,-10.4
127,HOUS,A,49577M001,Houston RRP,29 46 45.9,264 34 01.2,11.9
128,STB1,A,49861S001,Sturgeon Bay 1,44 47 43.7,272 41 08.4,148.8
129,AIS1,A,49998S001,Annette Island 1,55 04 08.6,228 24 01.6,32.2
130,FTS1,A,49893S001,Fort Stevens 1,46 12 17.5,236 02 38.0,-13.9
131,MEM2,A,49867S002,Memphis 2,35 27 56.5,269 47 38.2,46.6
132,PPT1,A,49890S001,Pigeon Point 1,37 11 13.5,237 36 36.1,7.8
133,ODS5,A,49572M001,Odessa RRP,31 52 26.1,257 41 05.4,858.8
134,PASO,A,49437S001,El Paso RRP,31 46 11.1,253 35 09.8,1113.1
135,REYK,A,10202M001,"REYKJAVIK, ICELAND",64 08 19.6,338 02 40.2,93
136,EKY1,A,49444S001,Egmont Key 1,27 36 01.5,277 14 22.8,-18.5
137,UPO1,A,49895S001,Upolu Point 1,20 14 45.1,204 06 58.2,78.2
138,MAS1,A,31303M002,"Maspalomas, Spain",27 45 49.4,344 22 00.2,197.1
139,JPLM,A,40400M007,"Pasadena, USA",34 12 17.3,241 49 36.3,424
140,LONG,A,40485M001,"Irwindale, CA",34 06 42.8,241 59 47.7,74.3
141,BAY1,A,49804S001,Cold Bay 1,55 11 24.9,197 17 34.2,50.5
142,KOK1,A,49896S001,Kokole Point 1,21 59 00.5,200 14 30.5,23.7
143,HOB2,A,50116M004,"Hobart, Australia",-42 48 16.9,147 26 19.4,41.1
144,MATE,A,12734M008,"Matera, Italy",40 38 56.8,16 42 16.0,535.6
145,KOD1,A,40419S001,Kodiak 1,57 37 03.6,207 48 23.6,27.1
146,NANO,A,40138M001,"Nanoose Bay, Canada",49 17 41.3,235 54 48.6,6.6
147,ANKR,A,20805M002,"Ankara, Turkey",39 53 14.5,32 45 30.4,976
148,TID2,A,50103M108,TID2 50103M108,-35 23 57.1,148 58 47.9,665.3
149,MALI,A,33201M001,"Malindi, Kenya",-2 59 45.2,40 11 39.8,-23.4
150,BOGT,A,41901M001,"Bogota, Colombia",4 38 24.2,285 55 08.6,2576.4
151,ALIC,A,50137M001,"Alice Springs, Austral",-23 40 12.4,133 53 07.8,603.3
152,DAV1,A,66010M001,"Davis, Antarctica",-68 34 38.3,77 58 21.4,44.4
153,KWJ1,A,50506M001,"Kwajalein Atoll, Marsh",8 43 19.9,167 43 48.8,38.2
154,KELY,A,43005M002,"Kangerlussuaq, Greenla",66 59 14.7,309 03 18.5,229.9
155,USNA,A,49908S001,U.S. Naval Academy,38 59 00.0,283 31 14.1,-27.3
156,HOLB,A,40130M001,"Holberg, Canada",50 38 25.2,231 51 54.0,559.6
157,CLGO,A,49935M001,"College Geo Obs, Alask",64 52 25.5,212 08 22.2,196.1
158,KELY,A,43005M002,"Kangerlussuaq, Greenla",66 59 14.7,309 03 18.5,229.9
159,SFER,A,13402M004,"San Fernando, Spain",36 27 51.6,353 47 39.6,84.2
160,WIS1,A,49871S001,Wisconsin Point 1,46 42 18.2,267 59 05.2,159.2
161,CME1,A,49894S001,Cape Mendocino 1,40 26 30.3,235 36 13.1,305.5
162,AIS1,A,49998S001,Annette Island 1,55 04 08.6,228 24 01.6,32.2
163,MOB1,A,49863S001,Mobile Point 1,30 13 39.0,271 58 33.2,-18.6
